            __File Format Version__,0x01


__Feature__,"ASTRO Call List"

__Record__,1 of 1 ("ASTRO Call List")

__Section__,"General"

__Field Name__, __Field Value__
"List Alias","LIST 1"

__Section__,"List"

__Field Names__
"Type","Call ID","ASTRO Call ID Text"
__Field Values__
"Ind","1000000","LIMON"
"Ind","1000001","REPSVR"
"Ind","1010001","PARKER"
"Ind","1100011","ZELENYI"
"Ind","1100777","DISTAR"
"Ind","1122999","DVS"
"Ind","1128888","DMRFRN"
"Ind","1500636","GRIZLY"
"Ind","1506888","ICEMAN"
"Ind","1610161","ENOT61"
"Ind","1630001","QRAMSK"
"Ind","1632101","HAKER"
"Ind","1632102","DOBRYNI"
"Ind","1632103","LEV"
"Ind","1632106","B0EC"
"Ind","1632107","SHAPRA1"
"Ind","1632108","PLUS"
"Ind","1632203","MOLCHUN"
"Ind","1632205","PREZIDE"
"Ind","1632303","KAZAK"
"Ind","1632401","CHAK"
"Ind","1634001","SAMARA"
"Ind","1860757","CICADA"
"Ind","1960001","VYMPEL"
"Ind","2120212","QRA212"
"Ind","2150215","ARCTIC"
"Ind","2200022","BALON"
"Ind","2300341","SMERCH"
"Ind","2470024","TUSHKAN"
"Ind","2500108","DALLAS"
"Ind","2500225","CALVIN"
"Ind","2500252","BARS"
"Ind","2500274","RU177"
"Ind","2500312","TEXNIK"
"Ind","2500318","VOLT"
"Ind","2500325","AVIATOR"
"Ind","2500334","STALKER"
"Ind","2500363","LEV1"
"Ind","2500411","VARLA"
"Ind","2500449","KOSMOS"
"Ind","2500450","KASSIR"
"Ind","2500502","BORISYC"
"Ind","2500542","RAZRYAD"
"Ind","2500590","WISKI"
"Ind","2500610","ONTONIO"
"Ind","2500617","MACLEOD"
"Ind","2500620","ILNUR"
"Ind","2500621","QRA058"
"Ind","2500632","SHRAM"
"Ind","2500643","CARBINE"
"Ind","2500647","LAKE"
"Ind","2500675","MEDVED"
"Ind","2500685","INGODA"
"Ind","2500690","VISITOR"
"Ind","2500707","PRORAB"
"Ind","2500718","215"
"Ind","2500722","MALAMUT"
"Ind","2500728","KAMYSH"
"Ind","2500761","MIX622"
"Ind","2500763","STOODIN"
"Ind","2500782","MALINA"
"Ind","2500786","PAVEL"
"Ind","2500787","BOLHOY"
"Ind","2500789","RECHNIK"
"Ind","2500794","LANCER"
"Ind","2500795","AGAT"
"Ind","2500816","KOTYARA"
"Ind","2500824","RAPTER"
"Ind","2500857","WAVU"
"Ind","2500863","ZHIRAF"
"Ind","2500881","BUMER"
"Ind","2500908","SLON"
"Ind","2500920","KAZAK1"
"Ind","2500929","CHAK1"
"Ind","2500940","PRMETEY"
"Ind","2501029","UA1ZBE"
"Ind","2501086","BABILON"
"Ind","2501108","4UVASH"
"Ind","2501122","SP356"
"Ind","2502011","KOTLAS"
"Ind","2502117","VIRUS"
"Ind","2502138","KUBAN"
"Ind","2502143","TAIFUN"
"Ind","2502146","XLORID"
"Ind","2502153","ODMIN"
"Ind","2502188","DIOD"
"Ind","2502208","BELGROD"
"Ind","2502226","PETR59"
"Ind","2503228","KARDAN"
"Ind","2503281","INGENER"
"Ind","2503316","MIXGUIT"
"Ind","2503420","ADVOKAT"
"Ind","2503424","JIPSON"
"Ind","2503436","SOTKA67"
"Ind","2503439","TRAK"
"Ind","2504024","URAL"
"Ind","2504028","SHAPRAN"
"Ind","2504030","BOEC"
"Ind","2504031","ENGENR"
