"No.","Radio ID","Callsign","Name","City","State","Country","Remarks","Call Type","Call Alert"
"1","9","QRA TG9","","","","","Group Call","None"
"2","5973","QRA-5973","","","","","Group Call","None"
"3","1000000","LIMON	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"4","1000001","REPSVR	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"5","1010001","PARKER	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"6","1100011","ZELENYI	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"7","1100777","DISTAR	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"8","1122999","DVS	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"9","1128888","DMRFRN	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"10","1500636","GRIZLY	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"11","1506888","ICEMAN	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"12","1610161","ENOT61	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"13","1630001","QRAMSK	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"14","1632101","HAKER	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"15","1632102","DOBRYNIA	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"16","1632103","LEV	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"17","1632104","DANTIST	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"18","1632105","D495	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"19","1632106","BOEC	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"20","1632107","SHAPRAN	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"21","1632108","PLUS	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"22","1632201","TUMAN1	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"23","1632202","TUMAN2	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"24","1632203","MOLCHUN	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"25","1632203","MOLCHUN	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"26","1632204","STRANNIK	","Name","City","State","Country","Remarks","Private Call","Call Alert"
"27","1632205","PREZIDENT	","Name","City","State","Country","Remarks","Private Call","Call Alert"
