Radio ID,Callsign,Name,City,State,Country
1000000,LIMON,"""","""","""",Russia Fed
1000001,REPSVR,"""","""","""",Russia Fed
1010001,PARKER,"""","""","""",Russia Fed
1100011,ZELENYI,"""","""","""",Russia Fed
1100777,DISTAR,"""","""","""",Russia Fed
1122999,DVS,"""","""","""",Russia Fed
1128888,DMRFRN,"""","""","""",Russia Fed
1230311,YUG311,"""","""","""",Russia Fed
1500636,GRIZLY,"""","""","""",Russia Fed
1506888,ICEMAN,"""","""","""",Russia Fed
1610161,ENOT61,"""","""","""",Russia Fed
1630001,QRAMSK,"""","""","""",Russia Fed
1632101,HAKER,"""","""","""",Russia Fed
1632102,DOBRYNI,"""","""","""",Russia Fed
1632103,LEV,"""","""","""",Russia Fed
1632106,B0EC,"""","""","""",Russia Fed
1632107,SHAPRA1,"""","""","""",Russia Fed
1632108,PLUS,"""","""","""",Russia Fed
1632203,MOLCHUN,"""","""","""",Russia Fed
1632205,PREZIDE,"""","""","""",Russia Fed
1632303,KAZAK,"""","""","""",Russia Fed
1632401,CHAK,"""","""","""",Russia Fed
1632402,DRON,"""","""","""",Russia Fed
1634001,SAMARA,"""","""","""",Russia Fed
1860757,CICADA,"""","""","""",Russia Fed
1960001,VYMPEL,"""","""","""",Russia Fed
2043042,QRANUT,"""","""","""",Russia Fed
2120212,QRA212,"""","""","""",Russia Fed
2150215,ARCTICA,"""","""","""",Russia Fed
2200022,BALON,"""","""","""",Russia Fed
2300341,SMERCH,"""","""","""",Russia Fed
2403710,LEKAR,"""","""","""",Russia Fed
2470024,TUSHKAN,"""","""","""",Russia Fed
2500108,DALLAS,"""","""","""",Russia Fed
2500225,CALVIN,"""","""","""",Russia Fed
2500247,SOKOL,"""","""","""",Russia Fed
2500252,BARS,"""","""","""",Russia Fed
2500274,RU177,"""","""","""",Russia Fed
2500312,TEXNIK,"""","""","""",Russia Fed
2500318,VOLT,"""","""","""",Russia Fed
2500325,AVIATOR,"""","""","""",Russia Fed
2500334,STALKER,"""","""","""",Russia Fed
2500363,LEV1,"""","""","""",Russia Fed
2500411,VARLA,"""","""","""",Russia Fed
2500417,POLEVIK,"""","""","""",Russia Fed
2500449,KOSMOS,"""","""","""",Russia Fed
2500450,KASSIR,"""","""","""",Russia Fed
2500502,BORISYC,"""","""","""",Russia Fed
2500542,RAZRYAD,"""","""","""",Russia Fed
2500590,WISKI,"""","""","""",Russia Fed
2500610,ONTONIO,"""","""","""",Russia Fed
2500617,MACLEOD,"""","""","""",Russia Fed
2500620,TATARIN,"""","""","""",Russia Fed
2500621,QRA058,"""","""","""",Russia Fed
2500632,SHRAM,"""","""","""",Russia Fed
2500643,CARBINE,"""","""","""",Russia Fed
2500647,LAKE,"""","""","""",Russia Fed
2500675,MEDVED,"""","""","""",Russia Fed
2500685,INGODA,"""","""","""",Russia Fed
2500690,VISITOR,"""","""","""",Russia Fed
2500707,PRORAB,"""","""","""",Russia Fed
2500718,O215,"""","""","""",Russia Fed
2500722,MALAMUT,"""","""","""",Russia Fed
2500728,KAMYSH,"""","""","""",Russia Fed
2500761,MIX622,"""","""","""",Russia Fed
2500763,STOODIN,"""","""","""",Russia Fed
2500776,HERTZ,"""","""","""",Russia Fed
2500780,MAX03,"""","""","""",Russia Fed
2500782,MALINA,"""","""","""",Russia Fed
2500786,PAVEL,"""","""","""",Russia Fed
2500787,BOLHOY,"""","""","""",Russia Fed
2500789,RECHNIK,"""","""","""",Russia Fed
2500790,ALEX,"""","""","""",Russia Fed
2500794,LANCER,"""","""","""",Russia Fed
2500795,AGAT,"""","""","""",Russia Fed
2500816,KOTYARA,"""","""","""",Russia Fed
2500824,RAPTER,"""","""","""",Russia Fed
2500857,WAVU,"""","""","""",Russia Fed
2500859,KUBA,"""","""","""",Russia Fed
2500863,ZHIRAF,"""","""","""",Russia Fed
2500865,SKANER,"""","""","""",Russia Fed
2500881,BUMER,"""","""","""",Russia Fed
2500893,BOREY,"""","""","""",Russia Fed
2500908,SLON,"""","""","""",Russia Fed
2500920,KAZAK1,"""","""","""",Russia Fed
2500929,CHAK1,"""","""","""",Russia Fed
2500940,PRMETEY,"""","""","""",Russia Fed
2500945,DIMGRAD,"""","""","""",Russia Fed
2500953,JACK,"""","""","""",Russia Fed
2500991,BAMBUK,"""","""","""",Russia Fed
2501029,UA1ZBE,"""","""","""",Russia Fed
2501086,BABILON,"""","""","""",Russia Fed
2501108,O4UVASH,"""","""","""",Russia Fed
2501122,SP356,"""","""","""",Russia Fed
2501188,IKSHA,"""","""","""",Russia Fed
2502011,KOTLAS,"""","""","""",Russia Fed
2502117,VIRUS,"""","""","""",Russia Fed
2502138,KUBAN,"""","""","""",Russia Fed
2502143,TAYFUN,"""","""","""",Russia Fed
2502146,XLORID,"""","""","""",Russia Fed
2502153,ODMIN,"""","""","""",Russia Fed
2502188,DIOD,"""","""","""",Russia Fed
2502208,BELGROD,"""","""","""",Russia Fed
2502226,PETR59,"""","""","""",Russia Fed
2503228,KARDAN,"""","""","""",Russia Fed
2503281,INGENER,"""","""","""",Russia Fed
2503315,TEPLAK,"""","""","""",Russia Fed
2503316,MIXGUIT,"""","""","""",Russia Fed
2503420,ADVOKAT,"""","""","""",Russia Fed
2503424,JIPSON,"""","""","""",Russia Fed
2503436,SOTKA67,"""","""","""",Russia Fed
2503439,TRAK,"""","""","""",Russia Fed
2504024,URAL,"""","""","""",Russia Fed
2504028,SHAPRAN,"""","""","""",Russia Fed
2504030,BOEC,"""","""","""",Russia Fed
2504031,ENGENR,"""","""","""",Russia Fed
2504036,POLIGON,"""","""","""",Russia Fed
2504037,PLUS1,"""","""","""",Russia Fed
2504056,PREZID1,"""","""","""",Russia Fed
2504058,DOCENT,"""","""","""",Russia Fed
2504059,SOVETSK,"""","""","""",Russia Fed
2504072,DOBRYN1,"""","""","""",Russia Fed
2504074,YANTAR,"""","""","""",Russia Fed
2504075,START,"""","""","""",Russia Fed
2504092,CAHEK,"""","""","""",Russia Fed
2506007,BUSTER,"""","""","""",Russia Fed
2506015,VDN,"""","""","""",Russia Fed
2506066,FANTOM,"""","""","""",Russia Fed
2506076,Andr88,"""","""","""",Russia Fed
2506138,TUAPSE,"""","""","""",Russia Fed
2506185,TAGAN,"""","""","""",Russia Fed
2507004,BALAMUT,"""","""","""",Russia Fed
2507027,BALAMYT,"""","""","""",Russia Fed
2507053,PSTAR,"""","""","""",Russia Fed
250706,SEVAS,"""","""","""",Russia Fed
2507074,BALOMUT,"""","""","""",Russia Fed
2508128,STRANIK,"""","""","""",Russia Fed
2509099,KORSAR,"""","""","""",Russia Fed
2509121,DOMOVOY,"""","""","""",Russia Fed
2509163,ROSTIK,"""","""","""",Russia Fed
2509178,ASTRNOM,"""","""","""",Russia Fed
2570053,AIKOM,"""","""","""",Russia Fed
2570093,STOPOR,"""","""","""",Russia Fed
2570148,MASTER,"""","""","""",Russia Fed
2570162,IMPULS,"""","""","""",Russia Fed
2600001,JONY,"""","""","""",Russia Fed
2600002,RADIY,"""","""","""",Russia Fed
