"ContactName","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","FiveToneCalls-S5CLDLL_5TTELEGRAM","FiveToneCalls-S5CLDLL_5TCALLADD","Delete_MDCCalls","MDCCalls-AU_CALLLSTID","MDCCalls-AU_MDCSYS","MDCCalls-AU_RVRTPERS_Zone","MDCCalls-AU_RVRTPERS","MDCCalls-AU_SPTPLDPL","MDCCalls-AU_CALLTYPE","Delete_QuikCallIICalls","QuikCallIICalls-QU_QCIISYS","QuikCallIICalls-QU_RVRTPERS_Zone","QuikCallIICalls-QU_RVRTPERS","QuikCallIICalls-QU_CALLFORMAT","QuikCallIICalls-QU_TONEATXFRE","QuikCallIICalls-QU_CODEA","QuikCallIICalls-QU_TONEBTXFRE","QuikCallIICalls-QU_CODEB","QuikCallIICalls-QU_STRIPPLDPL","Delete_DigitalCalls","DigitalCalls-DU_CALLLSTID","DigitalCalls-DU_ROUTETYPE","DigitalCalls-DU_CALLPRCDTNEN","DigitalCalls-DU_RINGTYPE","DigitalCalls-DU_TXTMSGALTTNTP","DigitalCalls-DU_CALLTYPE","DigitalCalls-DU_OVCMCALL","Delete_CapacityPlusCalls","CapacityPlusCalls-CAPPLUSUCL_CALLLSTID","CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE","CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN","CapacityPlusCalls-CAPPLUSUCL_RINGTYPE","CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP","CapacityPlusCalls-CAPPLUSUCL_CALLTYPE","Delete_PhoneCalls","PhoneCalls-PHNUCLELL_CALLID","PhoneCalls-PHNUCLELL_RINGTYPE"
"Имя контакта","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","Пятитоновые вызовы - Телеграмма","Пятитоновые вызовы - Адрес","Delete_MDCCalls","Вызовы MDC - ИД вызова (16-ричный)","Вызовы MDC - Система MDC","Вызовы MDC - Возврат к каналу и зоне","Вызовы MDC - Базовый канал","Вызовы MDC - Убрать TPL/DPL","Вызовы MDC - Тип вызова","Delete_QuikCallIICalls","Вызовы Quik CallII - Система Quik-Call II","Вызовы Quik CallII - Возврат к каналу и зоне","Вызовы Quik CallII - Базовый канал","Вызовы Quik CallII - Формат вызова","Вызовы Quik CallII - Частота тона А (Гц)","Вызовы Quik CallII - Код тонального сигнала A","Вызовы Quik CallII - Частота тона В (Гц)","Вызовы Quik CallII - Код тонального сигнала B","Вызовы Quik CallII - Убрать TPL/DPL","Delete_DigitalCalls","Цифровые вызовы - ИД вызова","Цифровые вызовы - Тип маршрута","Цифровые вызовы - Тон приема вызова","Цифровые вызовы - Стиль звонка","Цифровые вызовы - Тон оповещения о текстовом сообщении","Цифровые вызовы - Тип вызова","Цифровые вызовы - DU_OVCMCALL","Delete_CapacityPlusCalls","Вызовы Capacity Plus - ИД вызова","Вызовы Capacity Plus - Тип маршрута","Вызовы Capacity Plus - Тон приема вызова","Вызовы Capacity Plus - Стиль звонка","Вызовы Capacity Plus - Тон оповещения о текстовом сообщении","Вызовы Capacity Plus - Тип вызова","Delete_PhoneCalls","Телефонные вызовы - Номер","Телефонные вызовы - Тип звонка"
"Вызов1","False","","","False","Tel1","1","False","","","","","","","False","","","","","","","","","","False","","","","","","","","False","","","","","","","False","",""
"Вызов2","False","","","False","","","False","0xE001","Sys1","Нет","Выбранное","False","Групповой вызов","False","","","","","","","","","","False","","","","","","","","False","","","","","","","False","",""
"Вызов3","False","","","False","","","False","","","","","","","False","Sys1","Нет","Выбранное","Два тона","288.5","138","288.5","138","False","False","","","","","","","","False","","","","","","","False","",""
"Вызов4","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","","","","","","","","False","1","Обычный","False","Без стиля","Повторяющийся","Групповой вызов","False","",""
"Вызов5","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","","","","","","","","False","","","","","","","False","1","Без стиля"
"QRA-Team","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","9","Обычный","False","Без стиля","Повторяющийся","Групповой вызов","False","False","","","","","","","False","",""
"TG-5973","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","5973","Обычный","False","Без стиля","Повторяющийся","Групповой вызов","False","False","","","","","","","False","",""
"ROOM 1","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 2","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94002","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 3","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94003","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 4","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94004","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 5","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94005","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 6","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94006","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 7","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94007","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ROOM 8","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94008","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LIMON","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1000000","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"REPSVR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1000001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"PARKER","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1010001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ZELENYI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1100011","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DISTAR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1100777","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DVS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1122999","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DMRFRN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1128888","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"YUG311","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1230311","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"GRIZLY","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1500636","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ICEMAN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1506888","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ENOT61","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1610161","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"QRAMSK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1630001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"HAKER","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632101","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DOBRYNI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632102","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LEV","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632103","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"B0EC","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632106","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"SHAPRA1","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632107","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"PLUS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632108","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MOLCHUN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632203","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"PREZIDE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632205","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"KAZAK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632303","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"CHAK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632401","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DRON","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1632402","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"SAMARA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1634001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"CICADA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1860757","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"VYMPEL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","1960001","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"QRANUT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2043042","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"QRA212","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2120212","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ARCTICA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2150215","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"BALON","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2200022","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"SMERCH","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2300341","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LEKAR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2403710","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"TUSHKAN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2470024","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"DALLAS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500108","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"CALVIN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500225","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"SOKOL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500247","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"BARS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500252","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"RU177","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500274","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"TEXNIK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500312","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"VOLT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500318","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"AVIATOR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500325","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"STALKER","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500334","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LEV1","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500363","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"VARLA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500411","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"POLEVIK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500417","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"KOSMOS","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500449","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"KASSIR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500450","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"BORISYC","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500502","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"RAZRYAD","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500542","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"WISKI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500590","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ONTONIO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500610","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MACLEOD","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500617","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"TATARIN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500620","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"QRA058","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500621","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"SHRAM","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500632","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"CARBINE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500643","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LAKE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500647","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MEDVED","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500675","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"INGODA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500685","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"VISITOR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500690","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"PRORAB","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500707","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"215","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500718","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MALAMUT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500722","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"KAMYSH","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500728","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MIX622","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500761","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"STOODIN","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500763","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"HERTZ","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500776","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MAX03","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500780","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"MALINA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500782","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"PAVEL","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500786","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"BOLHOY","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500787","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"RECHNIK","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500789","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"ALEX","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500790","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"LANCER","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500794","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
"AGAT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500795","Обычный","True","Без стиля","Повторяющийся","Частный вызов","False","False","","","","","","","False","",""
