Contact Name,Call Type,Call ID,Call Receive Tone
QRA-Team,1,9,0
QRA-5973,1,5973,0
LIMON,2,1000000,0
REPSVR,2,1000001,0
PARKER,2,1010001,0
ZELENYI,2,1100011,0
DISTAR,2,1100777,0
DVS,2,1122999,0
DMRFRN,2,1128888,0
YUG311,2,1230311,0
GRIZLY,2,1500636,0
ICEMAN,2,1506888,0
ENOT61,2,1610161,0
QRAMSK,2,1630001,0
HAKER,2,1632101,0
DOBRYNI,2,1632102,0
LEV,2,1632103,0
B0EC,2,1632106,0
SHAPRA1,2,1632107,0
PLUS,2,1632108,0
MOLCHUN,2,1632203,0
PREZIDE,2,1632205,0
KAZAK,2,1632303,0
CHAK,2,1632401,0
DRON,2,1632402,0
SAMARA,2,1634001,0
CICADA,2,1860757,0
VYMPEL,2,1960001,0
QRANUT,2,2043042,0
QRA212,2,2120212,0
ARCTICA,2,2150215,0
BALON,2,2200022,0
SMERCH,2,2300341,0
LEKAR,2,2403710,0
TUSHKAN,2,2470024,0
DALLAS,2,2500108,0
CALVIN,2,2500225,0
SOKOL,2,2500247,0
BARS,2,2500252,0
RU177,2,2500274,0
TEXNIK,2,2500312,0
VOLT,2,2500318,0
AVIATOR,2,2500325,0
STALKER,2,2500334,0
LEV1,2,2500363,0
VARLA,2,2500411,0
POLEVIK,2,2500417,0
KOSMOS,2,2500449,0
KASSIR,2,2500450,0
BORISYC,2,2500502,0
RAZRYAD,2,2500542,0
WISKI,2,2500590,0
ONTONIO,2,2500610,0
MACLEOD,2,2500617,0
TATARIN,2,2500620,0
QRA058,2,2500621,0
SHRAM,2,2500632,0
CARBINE,2,2500643,0
LAKE,2,2500647,0
MEDVED,2,2500675,0
INGODA,2,2500685,0
VISITOR,2,2500690,0
PRORAB,2,2500707,0
215,2,2500718,0
MALAMUT,2,2500722,0
KAMYSH,2,2500728,0
MIX622,2,2500761,0
STOODIN,2,2500763,0
HERTZ,2,2500776,0
MAX03,2,2500780,0
MALINA,2,2500782,0
PAVEL,2,2500786,0
BOLHOY,2,2500787,0
RECHNIK,2,2500789,0
ALEX,2,2500790,0
LANCER,2,2500794,0
AGAT,2,2500795,0
KOTYARA,2,2500816,0
RAPTER,2,2500824,0
WAVU,2,2500857,0
KUBA,2,2500859,0
ZHIRAF,2,2500863,0
SKANER,2,2500865,0
BUMER,2,2500881,0
BOREY,2,2500893,0
SLON,2,2500908,0
KAZAK1,2,2500920,0
CHAK1,2,2500929,0
PRMETEY,2,2500940,0
DIMGRAD,2,2500945,0
JACK,2,2500953,0
BAMBUK,2,2500991,0
UA1ZBE,2,2501029,0
BABILON,2,2501086,0
4UVASH,2,2501108,0
SP356,2,2501122,0
IKSHA,2,2501188,0
KOTLAS,2,2502011,0
VIRUS,2,2502117,0
KUBAN,2,2502138,0
TAYFUN,2,2502143,0
XLORID,2,2502146,0
ODMIN,2,2502153,0
DIOD,2,2502188,0
BELGROD,2,2502208,0
PETR59,2,2502226,0
KARDAN,2,2503228,0
INGENER,2,2503281,0
TEPLAK,2,2503315,0
MIXGUIT,2,2503316,0
ADVOKAT,2,2503420,0
JIPSON,2,2503424,0
SOTKA67,2,2503436,0
TRAK,2,2503439,0
URAL,2,2504024,0
SHAPRAN,2,2504028,0
BOEC,2,2504030,0
ENGENR,2,2504031,0
POLIGON,2,2504036,0
PLUS1,2,2504037,0
PREZID1,2,2504056,0
DOCENT,2,2504058,0
SOVETSK,2,2504059,0
DOBRYN1,2,2504072,0
YANTAR,2,2504074,0
START,2,2504075,0
CAHEK,2,2504092,0
BUSTER,2,2506007,0
VDN,2,2506015,0
FANTOM,2,2506066,0
Andr88,2,2506076,0
TUAPSE,2,2506138,0
TAGAN,2,2506185,0
BALAMUT,2,2507004,0
BALAMYT,2,2507027,0
PSTAR,2,2507053,0
SEVAS,2,250706,0
BALOMUT,2,2507074,0
STRANIK,2,2508128,0
KORSAR,2,2509099,0
DOMOVOY,2,2509121,0
ROSTIK,2,2509163,0
ASTRNOM,2,2509178,0
AIKOM,2,2570053,0
STOPOR,2,2570093,0
MASTER,2,2570148,0
IMPULS,2,2570162,0
JONY,2,2600001,0
RADIY,2,2600002,0
MONOLIT,2,2700027,0
KARAT,2,2708042,0
ODA10,2,2900555,0
HANTER,2,3000987,0
BELGR0D,2,3100001,0
TROYKA,2,3100002,0
FLORIDA,2,3197441,0
GARICH,2,3208222,0
CONDOR,2,3324733,0
FRESH,2,3600971,0
LESNOY,2,3600987,0
BALU,2,3720001,0
XRADIO,2,3720002,0
MOTO,2,4000001,0
AYDAR,2,4010121,0
LYAMKIN,2,4200042,0
MIXA105,2,4200105,0
SHAXTER,2,4300001,0
FEDOR83,2,4700830,0
PILOT,2,4852001,0
BOTSMAN,2,5000002,0
TRESHKN,2,5000003,0
GRAF,2,5000004,0
TURIST,2,5000005,0
RANGER,2,5000007,0
ZHUK,2,5000008,0
GIDRANT,2,5000018,0
STELS,2,5000030,0
DIMA97,2,5000097,0
MAGNETO,2,5000230,0
SENATOR,2,5000262,0
OKROSKA,2,5000280,0
KURDEN,2,5000349,0
KASPER,2,5000540,0
GIHAR,2,5000772,0
KIRPICH,2,5000941,0
RADIST,2,5001430,0
PENZA,2,5002012,0
HOKUM,2,5002222,0
ZOLOTOY,2,5005522,0
DAVID,2,5500001,0
ROSTIK,2,5500055,0
QASHQAI,2,5500099,0
QRAOLD,2,5550222,0
TESTCA,2,5566777,0
VERESK,2,5600076,0
OREL808,2,5700057,0
OLIMP,2,5800030,0
SMOG158,2,5800077,0
TAYGA,2,5900111,0
CHERMOZ,2,5900175,0
FORWARD,2,5902505,0
DSPET4R,2,5973005,0
ORBIT,2,5973007,0
PARTZAN,2,5973008,0
DEVYATK,2,5973009,0
CMETAHA,2,5973011,0
BOROVIK,2,5973013,0
ALUPKA1,2,5973015,0
SEDOY,2,5973031,0
OBERON,2,5973058,0
TAIFUN,2,5973062,0
ZAPAD77,2,5973077,0
HYTERA,2,5973111,0
SQUID,2,5973162,0
MIX1888,2,5973188,0
ALEX203,2,5973203,0
TURBINA,2,5973212,0
ACROBAT,2,5973213,0
ARCTIC,2,5973215,0
ROMA220,2,5973220,0
SANICH,2,5973232,0
TASKENT,2,5973272,0
HOLODOK,2,5973415,0
QRA1731,2,5973501,0
ASPIRIN,2,5973515,0
QRABOT,2,5973666,0
KAMA,2,5973717,0
ORANGE,2,5973723,0
NIKON,2,5973744,0
GNOM,2,5973750,0
SURGUT,2,5973757,0
ON770,2,5973770,0
PAROVOZ,2,5973781,0
ONARKA,2,5973795,0
QENERGY,2,5973801,0
DIREKTOR,2,5973817,0
VOYAGER,2,5973842,0
SMOLNY,2,5973888,0
DVS001,2,5973901,0
TRANSIT,2,5973909,0
CMRADUGA,2,5973911,0
LESHIY,2,6000001,0
BORBIST,2,6100061,0
SELMASH,2,6100555,0
ROSTOV,2,6100777,0
BATAYSK,2,6102504,0
GSTAR,2,6107007,0
TAYNIK,2,6107373,0
MARCONI,2,6201488,0
BOTANIK,2,6201499,0
DEN53,2,6400555,0
SHAMAN,2,6600001,0
P25DMR,2,6660111,0
QRAP25,2,6660333,0
QRA909,2,6660444,0
QRAPOC,2,6660555,0
QRALINK,2,6660666,0
CAPYBAR,2,6660667,0
QRASAO,2,6660777,0
QRAZAO,2,6660888,0
QRASKLV,2,6660999,0
VIRAZH,2,6700067,0
SUMRAK,2,7000001,0
PRINTER,2,7600001,0
BARON,2,7700023,0
NAUM,2,7700024,0
