Number,Name,Call ID,Type,Ring Style,Call Receive Tone,Repeater Slot override
0,QRA-Team,9,Group Call,On,None,2
1,QRA-5973,5973,Group Call,On,None,2
2,LIMON,1000000,Private Call,On,None,2
3,REPSVR,1000001,Private Call,On,None,2
4,PARKER,1010001,Private Call,On,None,2
5,ZELENYI,1100011,Private Call,On,None,2
6,DISTAR,1100777,Private Call,On,None,2
7,DVS,1122999,Private Call,On,None,2
8,DMRFRN,1128888,Private Call,On,None,2
9,GRIZLY,1500636,Private Call,On,None,2
10,ICEMAN,1506888,Private Call,On,None,2
11,ENOT61,1610161,Private Call,On,None,2
12,QRAMSK,1630001,Private Call,On,None,2
13,HAKER,1632101,Private Call,On,None,2
14,DOBRYNI,1632102,Private Call,On,None,2
15,MOLCHUN,1632203,Private Call,On,None,2
16,SAMARA,1634001,Private Call,On,None,2
17,CICADA,1860757,Private Call,On,None,2
18,VYMPEL,1960001,Private Call,On,None,2
19,QRA212,2120212,Private Call,On,None,2
20,ARCTIC,2150215,Private Call,On,None,2
21,BALON,2200022,Private Call,On,None,2
22,SMERCH,2300341,Private Call,On,None,2
23,TUSHKAN,2470024,Private Call,On,None,2
24,DALLAS,2500108,Private Call,On,None,2
25,CALVIN,2500225,Private Call,On,None,2
26,BARS,2500252,Private Call,On,None,2
27,RU177,2500274,Private Call,On,None,2
28,TEXNIK,2500312,Private Call,On,None,2
29,VOLT,2500318,Private Call,On,None,2
30,AVIATOR,2500325,Private Call,On,None,2
31,STALKER,2500334,Private Call,On,None,2
32,VARLA,2500411,Private Call,On,None,2
33,KOSMOS,2500449,Private Call,On,None,2
34,KASSIR,2500450,Private Call,On,None,2
35,BORISYC,2500502,Private Call,On,None,2
36,RAZRYAD,2500542,Private Call,On,None,2
37,WISKI,2500590,Private Call,On,None,2
38,ONTONIO,2500610,Private Call,On,None,2
39,MACLEOD,2500617,Private Call,On,None,2
40,ILNUR,2500620,Private Call,On,None,2
41,QRA058,2500621,Private Call,On,None,2
42,SHRAM,2500632,Private Call,On,None,2
43,CARBINE,2500643,Private Call,On,None,2
44,LAKE,2500647,Private Call,On,None,2
45,MEDVED,2500675,Private Call,On,None,2
46,INGODA,2500685,Private Call,On,None,2
47,VISITOR,2500690,Private Call,On,None,2
48,PRORAB,2500707,Private Call,On,None,2
49,215,2500718,Private Call,On,None,2
50,MALAMUT,2500722,Private Call,On,None,2
51,KAMYSH,2500728,Private Call,On,None,2
52,MIX622,2500761,Private Call,On,None,2
53,STOODIN,2500763,Private Call,On,None,2
54,MALINA,2500782,Private Call,On,None,2
55,PAVEL,2500786,Private Call,On,None,2
56,BOLHOY,2500787,Private Call,On,None,2
57,RECHNIK,2500789,Private Call,On,None,2
58,LANCER,2500794,Private Call,On,None,2
59,AGAT,2500795,Private Call,On,None,2
60,KOTYARA,2500816,Private Call,On,None,2
61,RAPTER,2500824,Private Call,On,None,2
62,WAVU,2500857,Private Call,On,None,2
63,ZHIRAF,2500863,Private Call,On,None,2
64,BUMER,2500881,Private Call,On,None,2
65,SLON,2500908,Private Call,On,None,2
66,UA1ZBE,2501029,Private Call,On,None,2
67,BABILON,2501086,Private Call,On,None,2
68,4UVASH,2501108,Private Call,On,None,2
69,SP356,2501122,Private Call,On,None,2
70,KOTLAS,2502011,Private Call,On,None,2
71,VIRUS,2502117,Private Call,On,None,2
72,KUBAN,2502138,Private Call,On,None,2
73,TAIFUN,2502143,Private Call,On,None,2
74,XLORID,2502146,Private Call,On,None,2
75,ODMIN,2502153,Private Call,On,None,2
76,DIOD,2502188,Private Call,On,None,2
77,BELGROD,2502208,Private Call,On,None,2
78,PETR59,2502226,Private Call,On,None,2
79,KARDAN,2503228,Private Call,On,None,2
80,INGENER,2503281,Private Call,On,None,2
81,MIXGUIT,2503316,Private Call,On,None,2
82,ADVOKAT,2503420,Private Call,On,None,2
83,JIPSON,2503424,Private Call,On,None,2
84,SOTKA67,2503436,Private Call,On,None,2
85,TRAK,2503439,Private Call,On,None,2
86,URAL,2504024,Private Call,On,None,2
87,SHAPRAN,2504028,Private Call,On,None,2
88,BOEC,2504030,Private Call,On,None,2
89,ENGENR,2504031,Private Call,On,None,2
90,DOCENT,2504058,Private Call,On,None,2
91,DOBRYN1,2504072,Private Call,On,None,2
92,YANTAR,2504074,Private Call,On,None,2
93,START,2504075,Private Call,On,None,2
94,CAHEK,2504092,Private Call,On,None,2
95,BUSTER,2506007,Private Call,On,None,2
96,VDN,2506015,Private Call,On,None,2
97,FANTOM,2506066,Private Call,On,None,2
98,0888,2506076,Private Call,On,None,2
99,TUAPSE,2506138,Private Call,On,None,2
100,TAGAN,2506185,Private Call,On,None,2
101,BALAMUT,2507004,Private Call,On,None,2
102,BALAMYT,2507027,Private Call,On,None,2
103,PSTAR,2507053,Private Call,On,None,2
104,SEVAS,2507060,Private Call,On,None,2
105,BALOMUT,2507074,Private Call,On,None,2
106,STRANIK,2508128,Private Call,On,None,2
107,KORSAR,2509099,Private Call,On,None,2
108,DOMOVOY,2509121,Private Call,On,None,2
109,ROSTIK,2509163,Private Call,On,None,2
110,ASTRNOM,2509178,Private Call,On,None,2
111,AIKOM,2570053,Private Call,On,None,2
112,STOPOR,2570093,Private Call,On,None,2
113,MASTER,2570148,Private Call,On,None,2
114,IMPULS,2570162,Private Call,On,None,2
115,JONY,2600001,Private Call,On,None,2
116,RADIY,2600002,Private Call,On,None,2
117,ODA10,2900555,Private Call,On,None,2
118,HANTER,3000987,Private Call,On,None,2
119,BELGR0D,3100001,Private Call,On,None,2
120,TROYKA,3100002,Private Call,On,None,2
121,FLORIDA,3197441,Private Call,On,None,2
122,CONDOR,3324733,Private Call,On,None,2
123,FRESH,3600971,Private Call,On,None,2
124,BALU,3720001,Private Call,On,None,2
125,XRADIO,3720002,Private Call,On,None,2
126,MOTO,4000001,Private Call,On,None,2
127,LYAMKIN,4200042,Private Call,On,None,2
128,SHAXTER,4300001,Private Call,On,None,2
129,PILOT,4852001,Private Call,On,None,2
130,BOTSMAN,5000002,Private Call,On,None,2
131,TRESHKN,5000003,Private Call,On,None,2
132,GRAF,5000004,Private Call,On,None,2
133,TURIST,5000005,Private Call,On,None,2
134,RANGER,5000007,Private Call,On,None,2
135,GIDRANT,5000018,Private Call,On,None,2
136,DIMA97,5000097,Private Call,On,None,2
137,MAGNETO,5000230,Private Call,On,None,2
138,IKSHA,5000261,Private Call,On,None,2
139,SENATOR,5000262,Private Call,On,None,2
140,OKROSKA,5000280,Private Call,On,None,2
141,KURDEN,5000349,Private Call,On,None,2
142,KASPER,5000540,Private Call,On,None,2
143,GIHAR,5000772,Private Call,On,None,2
144,KIRPICH,5000941,Private Call,On,None,2
145,PENZA,5002012,Private Call,On,None,2
146,HOKUM,5002222,Private Call,On,None,2
147,ZOLOTOY,5005522,Private Call,On,None,2
148,DAVID,5500001,Private Call,On,None,2
149,ROSTIK,5500055,Private Call,On,None,2
150,QASHQAI,5500099,Private Call,On,None,2
151,QRAOLD,5550222,Private Call,On,None,2
152,TESTCA,5566777,Private Call,On,None,2
153,VERESK,5600076,Private Call,On,None,2
154,OREL808,5700057,Private Call,On,None,2
155,OLIMP,5800030,Private Call,On,None,2
156,SMOG158,5800077,Private Call,On,None,2
157,TAYGA,5900111,Private Call,On,None,2
158,CHERMOZ,5900175,Private Call,On,None,2
159,FORWARD,5902505,Private Call,On,None,2
160,DSPET4R,5973005,Private Call,On,None,2
161,ORBIT,5973007,Private Call,On,None,2
162,PARTZAN,5973008,Private Call,On,None,2
163,DEVYATK,5973009,Private Call,On,None,2
164,CMETAHA,5973011,Private Call,On,None,2
165,BOROVIK,5973013,Private Call,On,None,2
166,ALUPKA1,5973015,Private Call,On,None,2
167,SEDOY,5973031,Private Call,On,None,2
168,OBERON,5973058,Private Call,On,None,2
169,TAIFUN,5973062,Private Call,On,None,2
170,ZAPAD77,5973077,Private Call,On,None,2
171,SQUID,5973162,Private Call,On,None,2
172,MIX1888,5973188,Private Call,On,None,2
173,ALEX203,5973203,Private Call,On,None,2
174,TURBINA,5973212,Private Call,On,None,2
175,ACROBAT,5973213,Private Call,On,None,2
176,ARCTIC,5973215,Private Call,On,None,2
177,ROMA220,5973220,Private Call,On,None,2
178,SANICH,5973232,Private Call,On,None,2
179,TASKENT,5973272,Private Call,On,None,2
180,HOLODOK,5973415,Private Call,On,None,2
181,QRA1731,5973501,Private Call,On,None,2
182,ASPIRIN,5973515,Private Call,On,None,2
183,KAMA,5973717,Private Call,On,None,2
184,ORANGE,5973723,Private Call,On,None,2
185,NIKON,5973744,Private Call,On,None,2
186,GNOM,5973750,Private Call,On,None,2
