RADIO_ID,CALLSIGN,FIRST_NAME,LAST_NAME,CITY,STATE,COUNTRY
9990,ECHOHBL, , , , ,
9999,ECHOQRA, , , , ,
0401,QRAKIR, , , , ,
0000,LIMON, , , , ,
0001,REPSVR, , , , ,
1001,KAREL, , , , ,
1667,GROM, , , , ,
0543,PABLO, , , , ,
0011,ZELENYI, , , , ,
0777,DISTAR, , , , ,
2925,ASTIN, , , , ,
2999,DVS, , , , ,
8888,DMRFRN, , , , ,
2688,ALBERT, , , , ,
7116,SKAT, , , , ,
0005,PUTNIK, , , , ,
0311,YUG311, , , , ,
0900,MAINKUN, , , , ,
0001,MAKSIM, , , , ,
0002,ELKA, , , , ,
0710,SERVANT, , , , ,
0841,YAKUT, , , , ,
2020,CHISTOV, , , , ,
6888,ICEMAN, , , , ,
1710,FILIN, , , , ,
6462,CITYBOY, , , , ,
0010,KARSHI, , , , ,
0015,BENS, , , , ,
0116,DIVAN, , , , ,
0777,OKON4IK, , , , ,
1108,TATARIN, , , , ,
0161,ENOT61, , , , ,
7161,TOPOT, , , , ,
0001,QRAMSK, , , , ,
2101,HAKER, , , , ,
2102,DOBRYNI, , , , ,
2103,LEV11, , , , ,
2106,B0EC, , , , ,
2107,SHAPRA1, , , , ,
2108,PLUS, , , , ,
2203,MOLCHUN, , , , ,
2205,PREZIDE, , , , ,
2303,KAZAK, , , , ,
2401,CHAK, , , , ,
2402,DRON, , , , ,
4001,SAMARA, , , , ,
0530,DOZOR, , , , ,
0005,RADIST, , , , ,
0504,SERIY, , , , ,
0777,CLERIC, , , , ,
0757,CICADA, , , , ,
0001,VYMPEL, , , , ,
1719,DIMSHA, , , , ,
2345,TRUETEN, , , , ,
3042,QRANUT, , , , ,
0001,DARKNEO, , , , ,
0010,GAGIN, , , , ,
0212,QRA212, , , , ,
0215,ARCTICA, , , , ,
0022,BALON, , , , ,
0452,RUSLAN, , , , ,
0001,TAIGA, , , , ,
0005,ZANUDA, , , , ,
0010,SKIF, , , , ,
0035,AGRONOM, , , , ,
0096,BARMI, , , , ,
0341,SMERCH, , , , ,
0375,MAZI375, , , , ,
0927,KURAZH, , , , ,
3376,FOCUS, , , , ,
4312,OCEAN, , , , ,
0323,HIMIK, , , , ,
3710,LEKAR, , , , ,
0024,TUSHKAN, , , , ,
0108,DALLAS, , , , ,
0130,SABIRUS, , , , ,
0174,DEN710, , , , ,
0211,SAPA, , , , ,
0225,CALVIN, , , , ,
0247,SOKOL, , , , ,
0252,BARS, , , , ,
0274,RU177, , , , ,
0296,BAX22, , , , ,
0312,TEXNIK, , , , ,
0318,VOLT, , , , ,
0334,STALKER, , , , ,
0363,LEV12, , , , ,
0411,VARLA, , , , ,
0417,POLEVIK, , , , ,
0419,SALUT, , , , ,
0433,VEDAMIR, , , , ,
0445,IVAN, , , , ,
0450,KASSIR, , , , ,
0460,RYBAK, , , , ,
0502,BORISYC, , , , ,
0505,YUGRA, , , , ,
0511,DIMON, , , , ,
0514,PESHIY, , , , ,
0542,RAZRYAD, , , , ,
0548,MIHAIL, , , , ,
0569,PROTON, , , , ,
0574,METROM, , , , ,
0590,WISKI, , , , ,
0606,UFIMETS, , , , ,
0610,ONTONIO, , , , ,
0617,MACLEOD, , , , ,
0621,OBERON, , , , ,
0632,SHRAM, , , , ,
0633,ENERGY, , , , ,
0643,CARBINE, , , , ,
0647,LAKE, , , , ,
0649,SPARTAK, , , , ,
0653,NABIL, , , , ,
0675,MEDVED, , , , ,
0685,INGODA, , , , ,
0690,VISITOR, , , , ,
0707,PRORAB, , , , ,
0718,215, , , , ,
0722,MALAMUT, , , , ,
0728,KAMYSH, , , , ,
0736,KILOWAT, , , , ,
0760,PECHKIN, , , , ,
0761,MIX622, , , , ,
0763,STOODIN, , , , ,
0769,ZNAK, , , , ,
0773,ITMAN, , , , ,
0776,HERTZ, , , , ,
0780,MAX03, , , , ,
0782,MALINA, , , , ,
0786,PAVEL, , , , ,
0787,BOLHOY, , , , ,
0789,RECHNIK, , , , ,
0790,ALEX, , , , ,
0794,LANCER, , , , ,
0795,AGAT, , , , ,
0816,KOTYARA, , , , ,
0824,RAPTER, , , , ,
0857,WAVU, , , , ,
0859,KUBA, , , , ,
0863,ZHIRAF, , , , ,
0865,SKANER, , , , ,
0870,VAIKIS, , , , ,
0873,ROSTOV, , , , ,
0876,ARENDAT, , , , ,
0881,BUMER, , , , ,
0893,BOREY, , , , ,
0908,SLON, , , , ,
0916,KVAK, , , , ,
0920,KAZAK1, , , , ,
0924,MUHOMOR, , , , ,
0929,CHAK1, , , , ,
0936,LINUX, , , , ,
0940,PRMETEY, , , , ,
0945,DIMGRAD, , , , ,
0953,JACK, , , , ,
0981,FAKIR, , , , ,
0991,BAMBUK, , , , ,
1029,UA1ZBE, , , , ,
1086,BABILON, , , , ,
1102,SKVAYER, , , , ,
1105,DUNAY, , , , ,
1108,4UVASH, , , , ,
1117,MAFANYA, , , , ,
1122,SP356, , , , ,
1142,VARGAN, , , , ,
1180,DRAKON, , , , ,
1188,IKSHA, , , , ,
1190,IGORH3, , , , ,
1231,DENCHIK, , , , ,
1236,METALL, , , , ,
1237,SHTURMN, , , , ,
1247,ADIDAS, , , , ,
1250,SERZH, , , , ,
1257,KOSTER, , , , ,
1283,LESNIK, , , , ,
1284,SEMEN, , , , ,
1291,BOB12, , , , ,
1292,CROCK, , , , ,
1300,LIDER, , , , ,
1301,GRACH, , , , ,
1315,KRISTAL, , , , ,
1337,SVAROG, , , , ,
1338,CHERMOZ, , , , ,
1343,FEDOR83, , , , ,
1349,FOXMAN, , , , ,
1352,VULKAN, , , , ,
1354,HIRURG, , , , ,
1366,SASHKO, , , , ,
1382,SEVAS, , , , ,
1383,ROMBIC, , , , ,
1385,SIERRA, , , , ,
1391,EZHIK, , , , ,
1398,REPEJ, , , , ,
1400,COSMO, , , , ,
1407,SNOWMAN, , , , ,
1420,OVER, , , , ,
1424,SOVA, , , , ,
1428,FISHER, , , , ,
1443,DIZEL, , , , ,
1452,MAVER, , , , ,
1464,FAVORIT, , , , ,
1472,PULSAR, , , , ,
1482,SEDOYBM, , , , ,
1486,STRELA, , , , ,
1490,SPEAKER, , , , ,
1501,CHUGUN, , , , ,
1507,YURA27, , , , ,
1513,SWIFT, , , , ,
1529,ZATON, , , , ,
1533,KSAIROM, , , , ,
1545,BRODYGA, , , , ,
1549,ARZAMAS, , , , ,
1556,MIKE, , , , ,
1590,STORM, , , , ,
1607,ZEMLYAK, , , , ,
1612,PARKER, , , , ,
1620,KASKAD, , , , ,
1634,AVIATOR, , , , ,
1642,URAGAN, , , , ,
1650,KARAMBA, , , , ,
1655,ICEBERG, , , , ,
1668,NEMOI, , , , ,
1669,LEXX, , , , ,
1670,ELBRUS, , , , ,
1684,MEHANIK, , , , ,
1696,VLAD, , , , ,
1713,ISTOK, , , , ,
1720,UDAV, , , , ,
1721,MORSKOY, , , , ,
1733,ENGINER, , , , ,
1745,SOYIZ, , , , ,
1821,BOCHA, , , , ,
1824,TOMICH, , , , ,
1857,MUSEMAN, , , , ,
1891,PEPEL, , , , ,
1916,VYATICH, , , , ,
1919,NEMAN, , , , ,
1921,RAMA, , , , ,
1942,VOSTOK, , , , ,
1946,MORTI, , , , ,
1963,ROMAN, , , , ,
1965,PIXEL, , , , ,
1972,LABAZ, , , , ,
1982,CEMP, , , , ,
1984,ALFA, , , , ,
1987,VANCIK, , , , ,
1993,MAJOR, , , , ,
2011,KOTLAS, , , , ,
2041,LYKA, , , , ,
2117,VIRUS, , , , ,
2135,CHIEF, , , , ,
2138,KUBAN, , , , ,
2143,TAYFUN, , , , ,
2146,XLORID, , , , ,
2153,ODMIN, , , , ,
2188,DIOD, , , , ,
2208,BELGROD, , , , ,
2219,VOLGA, , , , ,
2226,PETR59, , , , ,
2249,LAGUNA, , , , ,
2297,AMPER, , , , ,
2302,QASHQAI, , , , ,
2313,TAGANAY, , , , ,
2341,SIBIR, , , , ,
2343,MAZAY, , , , ,
2358,PEREGAR, , , , ,
2383,ALEX359, , , , ,
2384,HOTTAB, , , , ,
2393,GRANIT, , , , ,
2417,KNYAZEV, , , , ,
2437,GORDON, , , , ,
2542,KOSMOS, , , , ,
2607,KATOD, , , , ,
2611,KONTROL, , , , ,
2617,GOMER, , , , ,
2631,BORMAN, , , , ,
2635,MAGADAN, , , , ,
2643,PAROHOD, , , , ,
2681,STRELOK, , , , ,
2718,NACHKAR, , , , ,
2721,TRITON, , , , ,
3148,MOROS, , , , ,
3149,TECHNIC, , , , ,
3228,KARDAN, , , , ,
3281,INGENER, , , , ,
3315,TEPLAK, , , , ,
3316,MIXGUIT, , , , ,
3420,ADVOKAT, , , , ,
3424,JIPSON, , , , ,
3436,SOTKA67, , , , ,
3439,TRAK, , , , ,
4003,ABSOLUT, , , , ,
4024,URAL, , , , ,
4028,SHAPRAN, , , , ,
4030,BOEC, , , , ,
4031,ENGENR, , , , ,
4033,MOLODOY, , , , ,
4036,POLIGON, , , , ,
4037,PLUS1, , , , ,
4056,PREZID1, , , , ,
4058,DOCENT, , , , ,
4059,SOVETSK, , , , ,
4072,DOBRYN1, , , , ,
4074,YANTAR, , , , ,
4075,START, , , , ,
4085,DWADWA, , , , ,
4092,CAHEK, , , , ,
6007,BUSTER, , , , ,
6015,VDN, , , , ,
6032,ANDY, , , , ,
6066,FANTOM, , , , ,
6076,ANDR88, , , , ,
6138,TUAPSE, , , , ,
6178,RADIK, , , , ,
6185,TAGAN, , , , ,
6219,RALF, , , , ,
7004,BALAMUT, , , , ,
7016,BOSCH, , , , ,
7027,BALAMYT, , , , ,
7053,VITAMIN, , , , ,
7074,BALOMUT, , , , ,
8052,TRAVEL, , , , ,
8054,ALIK, , , , ,
8073,FOBOSS, , , , ,
8126,IHTI, , , , ,
8128,STRANIK, , , , ,
9099,KORSAR, , , , ,
9121,DOMOVOY, , , , ,
9122,DOMINIK, , , , ,
9163,ROSTIK, , , , ,
9171,SVYZIST, , , , ,
9178,ASTRNOM, , , , ,
0435,ODESSA, , , , ,
0693,LINN, , , , ,
1099,KIPARIS, , , , ,
0053,AIKOM, , , , ,
0162,IMPULS, , , , ,
0184,TUCHKA, , , , ,
0206,BUDULAY, , , , ,
0003,MOTOR, , , , ,
0001,JONY, , , , ,
0002,RADIY, , , , ,
2207,NARZAN, , , , ,
0027,MONOLIT, , , , ,
8042,KARAT, , , , ,
0555,ODA10, , , , ,
0987,HANTER, , , , ,
0001,BELGR0D, , , , ,
0002,TROYKA, , , , ,
7441,FLORIDA, , , , ,
0032,DESNA, , , , ,
1957,NIKODIM, , , , ,
6773,IGOREK, , , , ,
0001,GRIZLY, , , , ,
4733,CONDOR, , , , ,
0010,ENOT, , , , ,
0020,VITALIK, , , , ,
0036,BITUG36, , , , ,
0971,FRESH, , , , ,
0987,LESNOY, , , , ,
8530,REGION, , , , ,
0001,ARMAT, , , , ,
0001,BALU, , , , ,
0002,XRADIO, , , , ,
2916,ROVER, , , , ,
2920,GLOBUS, , , , ,
2925,STOPOR, , , , ,
0138,EVGENY, , , , ,
0001,KENIG, , , , ,
0137,DUNA, , , , ,
1039,VEKTOR, , , , ,
0001,MOTO, , , , ,
4243,LEKTRON, , , , ,
0117,BURAN, , , , ,
0121,AYDAR, , , , ,
0042,LYAMKIN, , , , ,
0105,MIXA105, , , , ,
1044,KEDR, , , , ,
7537,SOFTACE, , , , ,
0001,SHAXTER, , , , ,
0002,BAZA, , , , ,
0365,ODIN, , , , ,
0001,FINIK, , , , ,
0491,BASIL46, , , , ,
6111,GOULASH, , , , ,
9813,BRONIX, , , , ,
4001,RAIVO, , , , ,
0001,SILVER, , , , ,
0005,YARUS, , , , ,
0010,BALXASH, , , , ,
2001,PILOT, , , , ,
0002,BOTSMAN, , , , ,
0003,TRESHKN, , , , ,
0004,GRAF, , , , ,
0005,TURIST, , , , ,
0006,BLUBEAR, , , , ,
0007,RANGER, , , , ,
0018,GIDRANT, , , , ,
0030,STELS, , , , ,
0035,LOGIK, , , , ,
0097,DIMA97, , , , ,
0098,VOLNA, , , , ,
0099,KANEFOL, , , , ,
0218,ZHUK, , , , ,
0230,MAGNETO, , , , ,
0262,SENATOR, , , , ,
0263,MOLOT, , , , ,
0280,OKROSKA, , , , ,
0349,KURDEN, , , , ,
0351,DOBRKOT, , , , ,
0540,KASPER, , , , ,
0772,GIHAR, , , , ,
0911,GHOST, , , , ,
0941,KIRPICH, , , , ,
0969,SPUTNIK, , , , ,
1234,SERG485, , , , ,
1430,OADIST, , , , ,
1777,GOODWIN, , , , ,
2012,PENZA, , , , ,
2230,POSAD, , , , ,
2402,QUASAR, , , , ,
5050,QRAM5, , , , ,
5522,ZOLOTOY, , , , ,
8314,VJUGA, , , , ,
0001,ERMAK, , , , ,
0261,PAUK, , , , ,
5151,ARMA, , , , ,
4875,MURMAN, , , , ,
0001,DAVID, , , , ,
0055,R0STIK, , , , ,
0222,QRAOLD, , , , ,
0076,VERESK, , , , ,
1891,MOSIN, , , , ,
7000,QRA56, , , , ,
7001,DEMON, , , , ,
7003,TOKS, , , , ,
7005,BARKAS, , , , ,
7007,TEMYCH, , , , ,
7008,SHATUN, , , , ,
7009,KUZMICH, , , , ,
7016,KEFIR, , , , ,
7018,SEVER, , , , ,
7023,BINT, , , , ,
0057,OREL808, , , , ,
0030,OLIMP, , , , ,
0058,QRAPNZ, , , , ,
0077,SMOG158, , , , ,
1113,FOXTROT, , , , ,
5256,HADAR, , , , ,
0005,MARKER, , , , ,
2505,FORWARD, , , , ,
6533,KRATKIY, , , , ,
6836,LUMEN, , , , ,
2123,KABAN, , , , ,
3005,DSPET4R, , , , ,
3007,ORBIT, , , , ,
3008,PARTZAN, , , , ,
3009,DEVYATK, , , , ,
3011,CMETAHA, , , , ,
3013,BOROVIK, , , , ,
3015,ALUPKA1, , , , ,
3025,QRASVAO, , , , ,
3031,SEDOY, , , , ,
3058,OBER0N, , , , ,
3077,ZAPAD77, , , , ,
3089,YAMAL, , , , ,
3111,HYTERA, , , , ,
3162,KALMAR, , , , ,
3188,MIX1888, , , , ,
3203,ALEX203, , , , ,
3212,TURBINA, , , , ,
3213,ACROBAT, , , , ,
3215,ARCTIC, , , , ,
3220,ROMA220, , , , ,
3232,SANICH, , , , ,
3272,TASKENT, , , , ,
