
Contect Name, Call Type, Call ID, Call Receive Tone
LIMON,2,1000000,0
DMRFRN,2,1128888,0
ICEMAN,2,1506888,0
VYMPEL,2,1960001,0
V6TURBO,2,2120212,0
OHARCTIC,2,2150215,0
TUAPSE,2,2300395,0
KAMYSH,2,2300502,0
RU177,2,2500274,0
TEXNIK,2,2500312,0
KOSMOS,2,2500449,0
BORISYC,2,2500502,0
ONTONIO,2,2500610,0
OBERON,2,2500621,0
SP356,2,2501122,0
TAIFUN,2,2502143,0
REVAZ,2,2502202,0
BELGROD,2,2502208,0
JIPSON,2,2503424,0
ENGENR,2,2504031,0
PSTAR,2,2507053,0
ROSTIK,2,2509163,0
JONY,2,2600001,0
HANTER,2,3000987,0
BELGROD,2,3100001,0
FLORIDA,2,3197441,0
CONDOR,2,3324733,0
BALU,2,3720001,0
PILOT,2,4852001,0
TURIST,2,5000005,0
DIMA97,2,5000097,0
DAVID,2,5500001,0
ROSTIK,2,5500055,0
CARBINE,2,5900001,0
TAYGA,2,5900111,0
RAZRYAD,2,5911111,0
DSPET4R,2,5973005,0
ORBIT,2,5973007,0
PARTZAN,2,5973008,0
DEVYATK,2,5973009,0
CMETAHA,2,5973011,0
BOROVIK,2,5973013,0
ALUPKA1,2,5973015,0
SEDOY,2,5973031,0
OBERON,2,5973058,0
TAIFUN,2,5973062,0
ZAPAD77,2,5973077,0
SQUID,2,5973162,0
MIX1888,2,5973188,0
ALEX203,2,5973203,0
TURBINA,2,5973212,0
ACROBAT,2,5973213,0
OHARCTIC,2,5973215,0
SANICH,2,5973232,0
TASKENT,2,5973272,0
MIXGUIT,2,5973316,0
HOLODOK,2,5973415,0
QRADMR1,2,5973501,0
KAMA,2,5973717,0
ORANGE,2,5973723,0
GNOM,2,5973750,0
SURGUT,2,5973757,0
ON770,2,5973770,0
SOKOL,2,5973777,0
PAROVOZ,2,5973781,0
ONTONIO,2,5973790,0
ONARKA,2,5973795,0
HIENRG,2,5973801,0
DIREKTOR,2,5973817,0
VOYAGER,2,5973842,0
SMOLNY,2,5973888,0
DVS001,2,5973901,0
TRANSIT,2,5973909,0
CMRADUGA,2,5973911,0
DEN53,2,6400555,0
QRAXLX,2,6660222,0
ECHO,2,6660999,0
ADVOKAT,2,6700342,0
MORYAK,2,7700111,0
PRIMUS,2,7700543,0
RUBIN,2,7702641,0
ULUDAG,2,7801081,0
KOMYAGA,2,7809113,0

